
surah|ayah|Verse
1|1|In the name of God, the most gracious, the most merciful
1|2|Thanks be to God, Lord of all worlds
1|3|Most Merciful
1|4|Malik on the Day of Religion
1|5|Beware of worship and Thine aid we seek
1|6|Show us the straight path
1|7|Way, who bestowed on them is not wrath, and who lost
2|1|In the name of God, the Most Gracious, the Most Merciful
2|2|That book no doubt guidance for the righteous
2|3|Those who believe in the unseen and evaluate prayer, and what we have agreed upon
2|4|And those who believe in what has been revealed to you and what has been revealed before you and the hereafter they are certain
2|5|Those are the guidance of their Lord.
2|6|Those who disbelieved themselves have to warn them, or did you not warn them, do not believe
2|7|May God be upon their hearts and to hear them.
2|8|And among the people who says we believe in God and the last day and what they are in the believers
2|9|They deceive God and those who believe and what they deceive except themselves and what they feel
2|10|In their hearts, there is a disease, so God increased them.
2|11|And when it is said to them, do not spoil the earth, they said, but we are reconciled
2|12|They are not the spoils, but they do not feel
2|13|And when it is said to them, they believed, as the people believed, they said that I believe, as it believes in the foolishness.
2|14|And when they met those who believe, they said, and when they are given to them, they said, they said, “We are with you, but we are mocking
2|15|God is mocking them and extending them in their tyrants.
2|16|Those who bought the delusion in the guidance, so what I have traded and what they were guided
2|17|Likewise, like the example of a fire.
2|18|Deaf, dumb and blind, they do not come back
2|19|Or as a prayer of the sky in which injustice, rams, and lightning make them follow them in their ears from the trays, the warning of the dead, and the death of the dead.
2|20|Burning is almost the light of their eyesight. On all things is destined
2|21|O people, worship your Lord who created you and those before you, may you fear you
2|22|Who made you the earth with a flesh and the sky with construction and descended from the sky with water, so he was brought up from the fruits, and for you, and for you, and for you, and for you, and for you.
2|23|And if you are in a bad from what we have revealed to our servants, then come with a wall of the like and let your witnesses without God
2|24|If you do not do and will not do, then fear the fire that people and the stone have led them.
2|25|And preach to those who believed and the righteous deeds that they have gardens that run from the rivers of the rivers. Les ۖ and they are similar to it ۖ and they have purified wives in it.
2|26|God is not ashamed to strike for example, what is a mosquito, so what is on the authority of it. God wanted this for example ۘ He will be misleading with him and guide him a lot ۚ And what is misleading of him except the two bonds
2|27|Those who pass the covenant of God after his covenant and cut off what God has commanded for him to connect and spoil in the land.
2|28|How do you atone for God, and you are a dead, so I will revive you 😂 Then he will die for you, then revive you and then to Him to return
2|29|He is the one who created for you what is in the earth in all
2|30|And when your Lord said to the angels, I am in the land of the earth. As 😂 He said that I know what you do not know
2|31|And Adam taught all the names, then he presented them to the angels, so he said: They told me the names of these people, if you are sincere
2|32|They said, Glory be to you, there is no knowledge of us except what you have taught us.
2|33|He said, O Adam. You are associated with
2|34|And when we said to the angels, they found for the Adam, so they found nothing but the father of my father, and it was arrogant, and it was from the disbelievers
2|35|And we said, O Adam, I live in you, and you will be married to Heaven, and all of it is a desire, as you will not
2|36|So the Satan was removed from it, so he brought them out of what we were in ۖ and we said, “September, some of you
2|37|So Adam received from his Lord words, and he repented to him ۚ He is the Most Merciful.
2|38|We said all of it is all of it.
2|39|And those who disbelieved and lied to our verses, those who are the owners of the fire.
